pc11_district_id,pc11_state_id,secc_cons_urban,secc_cons_pc_urban,secc_pov_rate_urban,secc_pov_rate_tend_urban,_mean_p_miss,_core_p_miss,_target_weight_share,_target_group_max_weight_share
197,09,137179.20291642542,24499.000736330287,0.09120806222674548,0.12232713274515364,0.1962679964509586,0.1962679964509586,1.0,1.0
198,09,121180.3749441709,19412.731450370586,0.20016666836225272,0.2535333356811352,0.1041246914549371,0.1041246914549371,1.0,1.0
199,09,119014.4177437089,20862.277513420097,0.16753221818919362,0.21022472418459415,0.0995088716707858,0.0995088716707858,1.0,1.0
200,09,135732.23984284617,27610.271159307027,0.10417417625735095,0.12687357016122094,0.3482862614604474,0.3482862614604475,1.0,1.0
201,09,121325.88054553446,22971.862948789218,0.15800297405734015,0.19676553768546381,0.0462963653586532,0.0462963653586532,1.0,1.0
202,09,114861.65392366711,21251.700064045646,0.18216955947073438,0.22678576112371104,0.0341247783711012,0.0341247783711012,1.0,1.0
203,10,101031.91015532058,19527.741511423956,0.22813129333785986,0.27595330898753617,0.0592855416936909,0.0592855416936909,1.0,1.0
204,10,106445.3006360247,20211.546749819707,0.179713756965106,0.2301119732224026,0.0,0.0,1.0,1.0
206,10,104293.3791004474,20466.61756249448,0.18262867679947042,0.22678701447862143,0.1384843935369399,0.1384843935369399,1.0,1.0
207,10,95337.55604919636,17326.43360363806,0.28722176073360906,0.3479910228686358,0.0936871110560697,0.0936871110560697,1.0,1.0
208,10,90718.80082358455,17807.79218924297,0.2907789153505147,0.34772685120003377,0.0,0.0,1.0,1.0
209,10,97935.9413952101,18541.798887374778,0.25810279859909757,0.31140232358906517,0.0,0.0,1.0,1.0
210,10,93709.89358406505,18661.53587349974,0.27152916870495525,0.32530064790760105,0.0,0.0,1.0,1.0
211,10,102781.30590500229,19715.78283955295,0.2418013451406138,0.29564422750250247,0.0,0.0,1.0,1.0
212,10,104548.77405033846,20366.64051135061,0.19797255591120133,0.24410287324787588,0.0232085077166919,0.0232085077166919,1.0,1.0
213,10,100532.2109375,20267.37109375,0.22404766082763672,0.26990431547164917,0.3842258170267123,0.3842258170267123,1.0,1.0
215,10,102932.03754393106,19686.057482090866,0.22254581050105157,0.2679085515533888,0.0312317388763669,0.0312317388763669,1.0,1.0
216,10,136951.3152003914,26548.43064223804,0.09164944540858655,0.11920921936763834,0.0889833282992246,0.0889833282992246,1.0,1.0
