State,District,lgd_district_code,pc11_district_id,pc11_state_id,female_literacy_pct,scst_pct,agri_worker_pct,total_population,total_households,poverty_rate,poverty_log,night_lights_log,state_key,district_key,district_merge,wage_timeliness_pct,avg_days_per_hh,women_pct,persondays_per_hh
Arunachal Pradesh,East Siang,232,251,12,57.77424742352031,70.53339246477312,7.743165167669306,99214,19107,0.1748719087483233,0.1611591278224685,0.0365006762949884,ARUNACHAL PRADESH,EAST SIANG,EAST SIANG,83.33333333333333,19.305555555555557,40.98440233214178,19.688043707716908
Arunachal Pradesh,Kurung Kumey,233,256,12,34.963000983788874,98.57509014292542,3.947152470047595,92076,15037,0.2646030889588462,0.2347583092764685,0.0020999011102787,ARUNACHAL PRADESH,KURUNG KUMEY,KURUNG KUMEY,75.0,26.75,46.23997865433638,27.273993503904855
Arunachal Pradesh,Lohit,234,259,12,49.89856844831307,32.53365905878155,10.11545888008827,145726,30005,0.2569824666131249,0.2287139809134729,0.0603257589459597,ARUNACHAL PRADESH,LOHIT,LOHIT,75.0,50.05555555555556,40.41178010683428,50.44565322583296
Arunachal Pradesh,Lower Dibang Valley,235,258,12,52.87585968417413,48.02884615384615,12.905340662665791,54080,11600,0.1232463544735523,0.1162230234463308,0.0153640347149394,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,LOWER DIBANG VALLEY,61.111111111111114,16.416666666666668,35.81505379152858,16.857955741508775
Arunachal Pradesh,Lower Subansiri,236,255,12,59.6960205890208,87.81283873298807,3.6437425559133616,83030,15249,0.1952870966631042,0.1783864047821274,0.0610858207873749,ARUNACHAL PRADESH,LOWER SUBANSIRI,LOWER SUBANSIRI,80.55555555555556,26.86111111111111,49.807583891966985,27.32304287082218
Arunachal Pradesh,Papum Pare,237,248,12,63.22619033996636,66.38387522441144,1.8003401294055552,176573,35730,0.1854638072122403,0.1701340965020276,0.2200805594382955,ARUNACHAL PRADESH,PAPUM PARE,PAPUM PARE,72.22222222222223,34.75,46.74679587287053,35.263249400625455
Arunachal Pradesh,Tawang,238,245,12,40.10851819840584,69.65404085879504,2.4314367580843226,49977,10062,0.2272475042669521,0.2047738603560366,0.0352179858200894,ARUNACHAL PRADESH,TAWANG,TAWANG,58.333333333333336,31.5,49.39835742232259,31.941944058507374
Arunachal Pradesh,Tirap,239,254,12,34.32160526751393,87.85175262335343,2.144051330712575,111975,20611,0.250980193349599,0.2239273987052388,0.0557602290577733,ARUNACHAL PRADESH,TIRAP,TIRAP,75.0,35.0,27.478078725725375,35.49830776049765
Arunachal Pradesh,Upper Siang,240,252,12,44.95517718548824,80.60022650056625,4.20683007435968,35320,7324,0.3343363657843021,0.2884340639734957,0.0008072131838902,ARUNACHAL PRADESH,UPPER SIANG,UPPER SIANG,77.77777777777777,23.916666666666668,27.581793087829475,24.46457028869378
Arunachal Pradesh,Upper Subansiri,241,249,12,49.10290237467018,93.85845077173808,2.4069681533615896,83448,15869,0.3431073707519941,0.2949858627832159,0.006245128680408,ARUNACHAL PRADESH,UPPER SUBANSIRI,UPPER SUBANSIRI,77.77666666666667,32.138888888888886,43.96935595307224,32.593007745579634
Arunachal Pradesh,West Kameng,242,246,12,50.079381879762906,55.24914529405458,2.3509438305709023,83947,18159,0.109161859380089,0.103604648466958,0.0373634659441374,ARUNACHAL PRADESH,WEST KAMENG,WEST KAMENG,86.11111111111111,34.02777777777778,34.51860407909021,34.49997971113274
Arunachal Pradesh,West Siang,243,250,12,51.69297305289616,82.63979193758128,1.4348837209302323,112274,21231,0.1741997337035578,0.1605868378582428,0.0056403614200001,ARUNACHAL PRADESH,WEST SIANG,WEST SIANG,72.22222222222223,12.11111111111111,30.434236558907543,12.518364878073172
Assam,Baksa,616,324,18,53.38147606907807,42.532431650132885,15.971066881784568,950075,191701,0.3523916546177738,0.3018746210382434,0.180874256254743,ASSAM,BAKSA,BAKSA,99.99472222222222,17.47222222222222,51.0802579093804,18.002248324634234
Assam,Barpeta,280,303,18,48.15041530670757,7.242702326729342,12.95519657392258,1693622,337929,0.3251449930017747,0.2815218821318889,0.2476816493082634,ASSAM,BARPETA,BARPETA,99.98833333333332,27.055555555555557,41.36940518780927,27.502194434509097
Assam,Bongaigaon,281,319,18,54.26214785143229,13.754527587831143,12.9983148207084,738804,150018,0.3015395651714309,0.2635478446611338,0.5185603210192129,ASSAM,BONGAIGAON,BONGAIGAON,100.0,19.11111111111111,41.45788033698141,19.63847359149904
Assam,Cachar,282,316,18,62.82033038821262,16.265302021113463,7.894597238461229,1736617,379955,0.3897553527732954,0.3291277264527996,0.3087997672757261,ASSAM,CACHAR,CACHAR,99.99805555555557,25.5,30.183106171719235,25.978230086973493
