State,District,lgd_district_code,pc11_district_id,pc11_state_id,female_literacy_pct,scst_pct,agri_worker_pct,total_population,total_households,poverty_rate,poverty_log,night_lights_log
Bihar,Jehanabad,199,239,10,45.294600458376486,19.928588757083585,43.36525090388971,1125313,181740,0.360144744230084,0.3075911236656787,1.2634456354637282
Bihar,Kaimur (Bhabua),200,233,10,47.51904724023516,26.25880480870446,40.852848801669445,1626384,250884,0.2772078549213256,0.2446763319502307,0.6048828632297459
Bihar,Katihar,201,212,10,35.21925419505929,14.427444351714032,59.9044041210182,3071029,619076,0.3208498216789554,0.2782753337474346,0.6833210260833876
Bihar,Khagaria,202,223,10,39.18720469927212,14.86820334443987,47.59878935494298,1666886,328823,0.3311814294218718,0.2860668407334988,0.7139505893666154
Bihar,Kishanganj,203,210,10,37.05658040149133,10.491126360624705,57.30796845084492,1690400,338445,0.3694228277486843,0.3143893574568471,0.5539430059903538
Bihar,Lakhisarai,204,227,10,42.58366047365282,16.139480793516313,39.83186866535227,1000912,163355,0.3638204054253693,0.3102898831756253,0.8497803303976846
Bihar,Madhepura,205,213,10,33.21211524172529,17.924558463993222,53.86205854699024,2001762,401289,0.3292232683232119,0.2845947628545709,0.9142166459923604
Bihar,Madhubani,206,207,10,37.77701886781961,13.173569694024062,52.615746710474255,4487379,898515,0.3242852115910583,0.2808728509255508,0.9238352723401672
Bihar,Munger,207,226,10,51.36428253831076,15.006232795838468,32.640251583105545,1367765,263171,0.2633914981936179,0.2337997701528857,0.8707318453079875
Bihar,Muzaffarpur,208,216,10,44.95648903814054,15.787215411923444,40.24007364572714,4801062,945703,0.2366172867930994,0.2123796573371169,1.1823818517852638
Bihar,Nalanda,209,229,10,43.48674808578632,21.16704133542161,46.27322528271176,2877653,477529,0.3593874636718637,0.3070342039310323,1.0874821317572847
Bihar,Nawada,210,237,10,40.162571965177506,25.557444169964484,41.62777846606451,2219146,338247,0.3791143057080263,0.3214414856645886,0.8041985978622522
Bihar,Pashchim Champaran,211,203,10,35.66057893242658,20.431548125788744,58.27540549486925,3935042,710461,0.3077015184572906,0.2682710300960372,0.557117164490218
Bihar,Patna,212,230,10,51.87160795854132,15.928621649697307,29.1474235141661,5838465,975578,0.293093460518873,0.257037379094657,1.5852308295653803
Bihar,Purbi Champaran,213,204,10,35.95102395951967,12.985660388310638,54.30746590936176,5099371,981516,0.2926225144981236,0.2566731116882542,0.9360518683677728
Bihar,Purnia,214,211,10,33.672917216366216,16.249400006555128,61.12598775092255,3264619,647777,0.3316670995382292,0.2864316156100724,0.844722786187544
Bihar,Rohtas,215,234,10,52.10841502091258,19.635543957636663,31.8056039480937,2959918,460345,0.298361387695078,0.2611029984019575,0.8723904322959712
Bihar,Saharsa,216,214,10,33.052163451161995,17.007662071247847,42.87389286756246,1900661,368979,0.3378376246762553,0.2910545975975074,0.9165923607498976
Bihar,Samastipur,217,221,10,41.80549655609991,18.890051215914525,46.348876445974525,4261566,835493,0.2790573350339668,0.246123349609135,0.9909835921526794
Bihar,Saran,218,219,10,45.18758284556938,12.926868397732513,31.57501099868016,3951862,631097,0.3260848282112639,0.282230862727488,1.069020353667294
Bihar,Sheikhpura,219,228,10,43.132886930485746,20.701446706330874,44.22169970676072,636342,100701,0.3882996702185018,0.3280797395151943,1.0215693955571268
Bihar,Sheohar,220,205,10,36.19598608405772,14.77692816413357,59.58317610519288,656246,150144,0.2459822521803743,0.2199241764278413,1.052301800779868
Bihar,Sitamarhi,221,206,10,34.042986517494676,11.937904657530405,51.87482169987195,3423574,736322,0.2600122507402823,0.2311214437258683,0.93946210257893
Bihar,Siwan,222,218,10,49.18942788759519,14.222792980197354,24.28977026816474,3330464,535661,0.3143547136396194,0.2733458331300364,0.9498122268399034
Bihar,Supaul,223,208,10,35.911111359451965,16.34834343916493,53.24289271742879,2229076,443073,0.3278470488228859,0.2835588703420464,0.8332780824578034
Bihar,Vaishali,224,220,10,46.90521458527973,21.181703915369894,39.89268246355478,3495021,626087,0.3456190685012498,0.2968541811388512,1.2066813571707802
